caseName,IVT,U925,V925,WS925,WD925,LTS
ish_20041211,141.38425016136767,-4.848254,-2.5591009,5.4822044,62.173126220703125,18.983000000000004
ish_20041214,163.86966127751475,-9.504682,-3.1188202,10.0033,71.83351135253906,17.24200000000002
ish_20041221,136.18595174364305,-5.464598,-6.131288,8.213071,41.70947265625,19.286
ish_20041222,163.11668630111942,-6.6492176,-3.8571346,7.6869745,59.88246154785156,19.92700000000002
ish_20041226,299.7573673215508,-9.831691,-3.7069046,10.507297,69.34172058105469,14.271999999999991
ish_20041228,215.81293608917184,-8.5432005,0.23712832,8.546491,91.58992004394531,14.584000000000003
ish_20041230,125.99384309621371,-6.0467224,-1.6049652,6.2560983,75.1348876953125,18.841000000000008
ish_20050102,79.2727723620874,-1.8292365,-5.4682293,5.7660766,18.49615478515625,17.295999999999992
ish_20050103,95.91692217421355,-4.8008275,1.2434597,4.9592476,104.52105712890625,16.25200000000001
ish_20050114,331.9650928832908,-2.8863614,-10.2081995,10.608413,15.7882080078125,14.980000000000018
ish_20050121,194.68239321006692,-7.3922524,-5.683741,9.324715,52.44410705566406,13.322000000000003
ish_20050123,256.2072711718878,-2.1250567,-8.421903,8.685868,14.161544799804688,14.485000000000014
ish_20050124,107.51360234503528,-0.7648599,-1.256514,1.470999,31.32953643798828,22.44799999999998
ish_20050125,253.7709565774664,0.98221284,7.140148,7.207389,187.8325653076172,15.005999999999972
ish_20050126,262.6275786720775,-7.458954,-5.8641243,9.488095,51.8260498046875,16.364000000000033
ish_20050128,267.51985081868406,-3.5142958,-0.66173476,3.5760548,79.33616638183594,14.721000000000004
ish_20050202,171.45153058456205,-3.3989534,-5.772312,6.698692,30.491172790527344,15.603999999999985
ish_20050203,284.1869620093389,-8.074719,-2.4753084,8.445605,72.95704650878906,17.37900000000002
ish_20050205,196.9055945051225,-1.8377191,0.22470725,1.8514061,96.97125244140625,13.981999999999971
ish_20050206,244.67480603482207,-2.0356038,4.344651,4.7978826,154.89546966552734,12.276999999999987
ish_20050213,159.35933446754757,-4.877893,-3.9960926,6.305759,50.6748046875,15.875
ish_20050214,376.6551510939185,-11.1077585,5.685189,12.4781275,117.10435485839844,14.948000000000036
ish_20050215,369.78013500205907,-2.0537534,7.103438,7.394372,163.8743133544922,13.995999999999981
ish_20050221,210.57994557179114,-4.4095488,-6.8420715,8.139906,32.80078125,17.29200000000003
ish_20050222,253.239468904256,-8.030186,-2.3649974,8.371206,73.58958435058594,13.56899999999996
ish_20050223,128.97985413240457,-1.3193406,-1.6702436,2.1284673,38.30552673339844,13.94500000000005
ish_20050301,191.3267926370392,-4.544075,-7.7054577,8.94554,30.528762817382812,14.364000000000033
ish_20050307,31.31548153568088,-1.8469195,-1.0098189,2.1049576,61.33198547363281,20.488
ish_20050308,73.84728767406445,-3.6565037,1.836527,4.091803,116.668701171875,17.093999999999994
ish_20050309,92.85999622032325,-1.3140622,3.3904812,3.6362238,158.81497955322266,11.901999999999987
ish_20050310,310.48490547574386,-0.43198463,9.013831,9.024177,177.2562255859375,12.150999999999954
ish_20050314,82.56775605967496,-4.492243,-4.5876927,6.420839,44.397705078125,20.290999999999997
ish_20050315,129.1000491730812,-3.0278475,5.1795726,5.999653,149.6905288696289,11.475999999999999
ish_20050316,188.36149369958986,-5.796942,3.9113846,6.993101,124.00881958007812,17.37299999999999
ish_20050318,296.44948162084626,-4.5156035,-10.915389,11.812552,22.474456787109375,20.399999999999977
ish_20050319,139.192068157331,-3.3532457,-5.6458936,6.5666103,30.707191467285156,23.533000000000015
ish_20050320,91.36952945326294,-0.091388516,0.21157163,0.23046565,156.63804626464844,18.627999999999986
ish_20050321,126.44066681114376,-5.185265,1.5742434,5.418968,106.88825988769531,17.769999999999982
ish_20050322,217.32101448323257,1.4973308,6.110022,6.2908163,193.7696304321289,17.486999999999966
ish_20050325,114.61472406454749,-4.3604546,-5.823686,7.275224,36.82383728027344,18.463000000000022
ish_20050326,194.68787750741026,-7.0175843,2.4492815,7.4327297,109.24005126953125,18.355000000000018
ish_20050327,401.3649230988782,-0.82617617,8.089381,8.13146,174.16854858398438,16.748999999999967
ish_20050404,150.9203249214105,-1.8130108,-6.002865,6.2706776,16.805580139160156,16.67100000000005
ish_20050405,73.89089391751433,-5.414047,2.0547836,5.7908583,110.78317260742188,18.254999999999995
ish_20050406,182.9200501438818,-0.2182252,8.362077,8.3649235,178.50509643554688,18.552999999999997
ish_20050407,275.6212248164263,-1.683438,8.622948,8.785738,168.95323181152344,13.87700000000001
ish_20050408,190.67053618687606,-2.6003458,5.3328643,5.9330635,154.0057830810547,13.661000000000001
ish_20050409,192.8561133695713,-2.062252,7.2520976,7.5396156,164.12604522705078,11.83299999999997
ish_20050415,149.2646888163167,-4.469665,-2.6696568,5.2062435,59.15081787109375,15.711000000000013
ish_20050416,107.01257493143109,-6.952912,-2.6258938,7.432247,69.31002807617188,18.486000000000047
ish_20050417,225.56763921575967,-8.4185505,-0.026680628,8.418592,89.81840515136719,14.613
ish_20050418,410.2992022142379,-3.3429976,9.640571,10.203736,160.87532806396484,13.521999999999991
ish_20050419,325.26997620061263,-0.6065271,8.972625,8.993101,176.1328353881836,14.793000000000006
